Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/10/2023 6 a.m. EST,6046,7,1003,966,230,30574,10724,33589
PJM,12/10/2023 7 a.m. EST,5435,11,988,969,229,32247,11139,33633
PJM,12/10/2023 8 a.m. EST,5186,135,994,1000,229,34115,12275,33655
PJM,12/10/2023 9 a.m. EST,4327,345,1294,990,231,35679,13506,33690
PJM,12/10/2023 10 a.m. EST,3981,582,1401,991,228,36463,14057,33690
PJM,12/10/2023 11 a.m. EST,3719,599,1651,1003,226,36570,14389,33700
PJM,12/10/2023 12 p.m. EST,3549,619,1319,997,257,37310,14899,33729
PJM,12/10/2023 1 p.m. EST,3574,447,1470,995,255,36985,14649,33712
PJM,12/10/2023 2 p.m. EST,3362,282,1518,977,256,37733,14660,33702
PJM,12/10/2023 3 p.m. EST,3540,171,1528,965,255,37594,14721,33719
PJM,12/10/2023 4 p.m. EST,3546,29,2055,962,254,39236,14851,33716
PJM,12/10/2023 5 p.m. EST,3144,12,3686,988,252,41886,15329,33712
PJM,12/10/2023 6 p.m. EST,2719,16,4726,976,256,42336,15902,33732
PJM,12/10/2023 7 p.m. EST,2740,12,4433,987,218,42204,16214,33728
PJM,12/10/2023 8 p.m. EST,2797,12,3132,997,219,41878,16601,33728
PJM,12/10/2023 9 p.m. EST,2700,12,2060,985,222,39825,16477,33746
PJM,12/10/2023 10 p.m. EST,2422,12,1305,984,222,38610,16387,33752
PJM,12/10/2023 11 p.m. EST,2273,7,969,985,225,36413,15967,33720
PJM,12/11/2023 12 a.m. EST,7831,7,1030,1006,229,30396,10947,33210
PJM,12/11/2023 1 a.m. EST,1883,7,996,985,226,34269,15758,33521
PJM,12/11/2023 2 a.m. EST,1932,7,895,984,226,33907,15428,33440
PJM,12/11/2023 3 a.m. EST,1699,7,762,972,220,35621,15822,33352
PJM,12/11/2023 4 a.m. EST,1514,7,880,963,228,35418,16292,33127
PJM,12/11/2023 5 a.m. EST,1422,7,1389,972,229,39039,16660,33035
PJM,12/11/2023 6 a.m. EST,1494,7,3908,970,229,43113,16889,32961
PJM,12/11/2023 7 a.m. EST,1532,7,4759,960,275,47858,17472,32849
PJM,12/11/2023 8 a.m. EST,1840,711,4276,1004,287,47870,17639,32768
PJM,12/11/2023 9 a.m. EST,2024,2392,1820,1134,235,46950,17455,32754
PJM,12/11/2023 10 a.m. EST,2132,2790,987,1525,228,45016,17449,32746
PJM,12/11/2023 11 a.m. EST,2278,2543,1006,1682,304,44136,17776,32727
PJM,12/11/2023 12 p.m. EST,2335,2329,1053,1536,223,43624,17686,32724
PJM,12/11/2023 1 p.m. EST,2316,2014,1140,1658,259,43822,17450,32757
PJM,12/11/2023 2 p.m. EST,2303,2021,965,1610,271,44041,17246,32740
PJM,12/11/2023 3 p.m. EST,2231,1538,1002,1553,261,44482,16974,32739
PJM,12/11/2023 4 p.m. EST,2148,356,2313,1479,269,45724,17006,32760
PJM,12/11/2023 5 p.m. EST,2662,35,4316,1482,303,48838,17297,32772
PJM,12/11/2023 6 p.m. EST,3510,33,4505,1502,302,50404,17509,32772
PJM,12/11/2023 7 p.m. EST,4459,33,4278,1504,302,49032,17426,32782
PJM,12/11/2023 8 p.m. EST,5657,33,3762,1502,306,48473,17454,32698
PJM,12/11/2023 9 p.m. EST,6659,33,2459,1484,296,46862,17451,32588
PJM,12/11/2023 10 p.m. EST,7053,33,1206,1044,298,44126,17235,32515
PJM,12/11/2023 11 p.m. EST,6998,33,1080,986,299,41232,17290,32632
PJM,12/12/2023 12 a.m. EST,2006,7,1134,985,226,35126,15483,33644
PJM,12/12/2023 1 a.m. EST,7340,33,1070,974,250,38358,16198,32736
PJM,12/12/2023 2 a.m. EST,7129,33,1120,994,250,37280,15881,32742
PJM,12/12/2023 3 a.m. EST,6659,33,1429,955,272,37517,15553,32768
PJM,12/12/2023 4 a.m. EST,6662,33,2383,954,274,38276,15761,32791
PJM,12/12/2023 5 a.m. EST,6423,33,2907,985,321,40993,16512,32886
PJM,12/12/2023 6 a.m. EST,6460,33,4045,1706,377,45200,17299,32932
PJM,12/12/2023 7 a.m. EST,6558,56,4489,1734,363,48647,18486,33005
PJM,12/12/2023 8 a.m. EST,6181,1404,3539,1834,375,46744,18847,33039
PJM,12/12/2023 9 a.m. EST,5492,3305,2327,1682,274,42921,18015,33052
PJM,12/12/2023 10 a.m. EST,4331,3670,1749,1647,457,41257,17970,33131
PJM,12/12/2023 11 a.m. EST,4387,3567,1236,1648,460,39124,17539,33220
PJM,12/12/2023 12 p.m. EST,4556,3486,1243,1652,411,39319,16897,33277
PJM,12/12/2023 1 p.m. EST,4742,3581,1407,1559,461,38092,16660,33304
PJM,12/12/2023 2 p.m. EST,4572,3538,1412,1663,426,38429,16406,33377
PJM,12/12/2023 3 p.m. EST,4320,2648,1385,1575,400,40876,16583,33395
PJM,12/12/2023 4 p.m. EST,3779,476,2069,1456,457,42534,17053,33400
PJM,12/12/2023 5 p.m. EST,3656,7,3765,1698,504,45432,17590,33408
PJM,12/12/2023 6 p.m. EST,3899,7,3286,1703,558,46805,18336,33374
PJM,12/12/2023 7 p.m. EST,4240,7,3340,1693,367,47066,18158,33369
PJM,12/12/2023 8 p.m. EST,4117,7,2679,1687,372,46691,18416,33396
PJM,12/12/2023 9 p.m. EST,3748,7,2306,1681,327,45946,18278,33385
PJM,12/12/2023 10 p.m. EST,3512,17,1432,985,330,44280,17894,33394
PJM,12/12/2023 11 p.m. EST,3645,17,1428,1002,313,42279,18074,33420
PJM,12/13/2023 12 a.m. EST,7411,33,1052,966,297,38458,16585,32705
PJM,12/13/2023 1 a.m. EST,3046,7,1384,1009,320,40249,17442,33417
PJM,12/13/2023 2 a.m. EST,2675,7,1375,1019,323,40121,16942,33424
PJM,12/13/2023 3 a.m. EST,2555,7,1307,1008,316,40335,16859,33429
PJM,12/13/2023 4 a.m. EST,2241,7,1310,1001,326,41672,17052,33434
PJM,12/13/2023 5 a.m. EST,1999,7,1486,993,349,44347,18309,33431
PJM,12/13/2023 6 a.m. EST,1695,7,3919,1563,376,46937,18678,33443
PJM,12/13/2023 7 a.m. EST,1541,20,4352,1588,547,49433,19999,33450
PJM,12/13/2023 8 a.m. EST,1434,820,2856,1513,512,49352,20642,33441
PJM,12/13/2023 9 a.m. EST,1105,2242,2006,1675,465,45119,20032,33435
PJM,12/13/2023 10 a.m. EST,1012,3209,1340,1684,416,42986,18919,33433
PJM,12/13/2023 11 a.m. EST,1059,3277,1332,1674,289,42868,18720,33412
PJM,12/13/2023 12 p.m. EST,985,3325,1364,1714,276,41607,18024,33392
PJM,12/13/2023 1 p.m. EST,990,3188,1364,1714,226,41660,18085,33385
PJM,12/13/2023 2 p.m. EST,1088,3182,1382,1767,221,41666,17606,33403
PJM,12/13/2023 3 p.m. EST,1168,2239,1485,1520,224,41970,17214,33420
PJM,12/13/2023 4 p.m. EST,1137,441,2539,1556,242,44514,17446,33430
PJM,12/13/2023 5 p.m. EST,1409,7,3810,1576,268,47287,18236,33419
PJM,12/13/2023 6 p.m. EST,1824,7,3762,1587,310,48214,19652,33399
PJM,12/13/2023 7 p.m. EST,2052,16,3645,1569,300,48578,20220,33429
PJM,12/13/2023 8 p.m. EST,2726,7,2961,1567,303,47828,20285,33408
PJM,12/13/2023 9 p.m. EST,3119,7,2043,1395,306,47418,19435,33415
PJM,12/13/2023 10 p.m. EST,3216,15,1508,1274,305,46058,19123,33437
PJM,12/13/2023 11 p.m. EST,2807,7,1386,1053,307,44428,18161,33442
PJM,12/14/2023 12 a.m. EST,3339,19,1417,1004,321,40330,17401,33416
PJM,12/14/2023 1 a.m. EST,2798,7,1197,1043,272,42536,16124,33454
PJM,12/14/2023 2 a.m. EST,2421,7,1253,1073,273,42907,15630,33457
PJM,12/14/2023 3 a.m. EST,2367,7,1231,1049,282,42567,15561,33474
PJM,12/14/2023 4 a.m. EST,2381,7,1996,1060,311,43020,15771,33464
